Slot,Slot Label,Seminar Title,Capacity,Assigned Count,Active,Notes
session_1,Friday 4:00–5:00 PM,Color Me Golden: Embracing Life in Every Season,0,0,TRUE,Panel Discussion
session_1,Friday 4:00–5:00 PM,"Refined by Fire, Revealed in Beauty",0,0,TRUE,Presenter TBD
session_2,Sabbath 2:00–3:15 PM,Repainted by Grace,0,0,TRUE,Valerie Haveman
session_2,Sabbath 2:00–3:15 PM,Color Me Open,0,0,TRUE,Mary Kendall
session_2,Sabbath 2:00–3:15 PM,Nourished by Color,0,0,TRUE,Stephanie Richards
session_2,Sabbath 2:00–3:15 PM,Color Me Prayerful: Discovering the Beautiful Ways We Talk With God,0,0,TRUE,Shannon Pigsley
session_3,Sabbath 4:15–5:30 PM,Shades of Peace,0,0,TRUE,Melissa Morris
session_3,Sabbath 4:15–5:30 PM,Coloring Through the Chaos: Raising Children with Grace and Truth,0,0,TRUE,Panel Discussion
session_3,Sabbath 4:15–5:30 PM,Broken Crayons Still Color,0,0,TRUE,
session_4,Sunday 8:15–9:15 AM,Brushstrokes of Leadership,0,0,TRUE,Ami Cook
